"ID","item","lifestyle","retirementtype","budgetperweek","category"
1,22,1,2,42.75,1
2,22,2,2,42.67,1
3,22,1,1,40.32,1
4,22,2,1,33.57,1
5,23,1,2,44.55,1
6,23,2,2,40.67,1
7,23,1,1,44.53,1
8,23,2,1,38.32,1
9,24,1,2,26.5,1
10,24,2,2,26.5,1
11,24,1,1,22.81,1
12,24,2,1,22.81,1
13,25,1,2,7.93,1
14,25,2,2,0.0,1
15,25,1,1,7.93,1
16,25,2,1,0.0,1
17,26,1,2,23.77,1
18,26,2,2,23.77,1
19,26,1,1,23.77,1
20,26,2,1,23.77,1
21,27,1,2,63.92,2
22,27,2,2,54.64,2
23,27,1,1,51.54,2
24,27,2,1,40.68,2
25,28,1,2,246.38,3
26,28,2,2,203.27,3
27,28,1,1,141.76,3
28,28,2,1,109.64,3
29,85,1,2,29.78,4
30,85,2,2,20.61,4
31,85,1,1,22.88,4
32,85,2,1,18.29,4
33,86,1,2,31.11,5
34,86,2,2,18.59,5
35,86,1,1,23.84,5
36,86,2,1,18.59,5
37,87,1,2,7.51,5
38,87,2,2,7.19,5
39,87,1,1,5.37,5
40,87,2,1,5.14,5
41,88,1,2,27.11,5
42,88,2,2,12.0,5
43,88,1,1,17.66,5
44,88,2,1,7.19,5
45,89,1,2,9.39,5
46,89,2,2,2.74,5
47,89,1,1,9.17,5
48,89,2,1,2.74,5
49,90,1,2,5.01,5
50,90,2,2,2.82,5
51,90,1,1,5.01,5
52,90,2,1,2.82,5
53,91,1,2,18.78,5
54,91,2,2,2.91,5
55,91,1,1,16.42,5
56,91,2,1,2.91,5
57,92,1,2,7.78,5
58,92,2,2,0.0,5
59,92,1,1,7.78,5
60,92,2,1,0.0,5
61,94,1,2,188.33,7
62,94,2,2,111.14,7
63,94,1,1,176.23,7
64,94,2,1,107.78,7
65,95,1,2,5.57,7
66,95,2,2,5.57,7
67,95,1,1,2.79,7
68,95,2,1,2.79,7
69,96,1,2,93.52,8
70,96,2,2,35.74,8
71,96,1,1,46.75,8
72,96,2,1,17.87,8
73,97,1,2,47.04,8
74,97,2,2,23.52,8
75,97,1,1,27.08,8
76,97,2,1,13.53,8
77,98,1,2,64.23,8
78,98,2,2,47.24,8
79,98,1,1,36.19,8
80,98,2,1,24.13,8
81,99,1,2,5.85,8
82,99,2,2,0.0,8
83,99,1,1,2.92,8
84,99,2,1,0.0,8
85,100,1,2,6.65,9
86,100,2,2,4.43,9
87,100,1,1,4.46,9
88,100,2,1,3.32,9
89,101,1,2,12.06,9
90,101,2,2,3.24,9
91,101,1,1,12.06,9
92,101,2,1,3.24,9
93,102,1,2,45.92,9
94,102,2,2,25.96,9
95,102,1,1,21.99,9
96,102,2,1,17.22,9
97,103,1,2,96.78,9
98,103,2,2,50.7,9
99,103,1,1,69.13,9
100,103,2,1,29.95,9
101,104,1,2,11.09,9
102,104,2,2,13.3,9
103,104,1,1,6.65,9
104,104,2,1,6.65,9
105,105,1,2,89.24,9
106,105,2,2,62.36,9
107,105,1,1,58.63,9
108,105,2,1,39.52,9
109,106,1,2,37.12,9
110,106,2,2,0.0,9
111,106,1,1,23.43,9
112,106,2,1,0.0,9
113,107,1,2,32.65,9
114,107,2,2,17.03,9
115,107,1,1,23.77,9
116,107,2,1,12.67,9
117,93,1,2,52.63,6
118,93,2,2,40.21,6
119,93,1,1,28.26,6
120,93,2,1,21.16,6
121,108,1,2,1.2,9
122,108,2,2,0.46,9
123,108,1,1,1.2,9
124,108,2,1,0.46,9
