"ID","item","lifestyle","retirementtype","budgetperweek","category","startdate","enddate"
2,22,2,2,42.67,1,2023-09-01,2023-12-31
4,22,2,1,33.57,1,2023-09-01,2023-12-31
5,23,1,2,44.55,1,2023-09-01,2023-12-31
6,23,2,2,40.67,1,2023-09-01,2023-12-31
7,23,1,1,44.53,1,2023-09-01,2023-12-31
8,23,2,1,38.32,1,2023-09-01,2023-12-31
9,24,1,2,26.5,1,2023-09-01,2023-12-31
10,24,2,2,26.5,1,2023-09-01,2023-12-31
11,24,1,1,22.81,1,2023-09-01,2023-12-31
13,25,1,2,7.93,1,2023-09-01,2023-12-31
3,22,1,1,40.32,1,2023-09-01,2023-12-31
14,25,2,2,0.0,1,2023-09-01,2023-12-31
15,25,1,1,7.93,1,2023-09-01,2023-12-31
16,25,2,1,0.0,1,2023-09-01,2023-12-31
17,26,1,2,23.77,1,2023-09-01,2023-12-31
18,26,2,2,23.77,1,2023-09-01,2023-12-31
19,26,1,1,23.77,1,2023-09-01,2023-12-31
20,26,2,1,23.77,1,2023-09-01,2023-12-31
21,27,1,2,63.92,2,2023-09-01,2023-12-31
22,27,2,2,54.64,2,2023-09-01,2023-12-31
12,24,2,1,22.81,1,2023-09-01,2023-12-31
23,27,1,1,51.54,2,2023-09-01,2023-12-31
24,27,2,1,40.68,2,2023-09-01,2023-12-31
25,28,1,2,246.38,3,2023-09-01,2023-12-31
26,28,2,2,203.27,3,2023-09-01,2023-12-31
27,28,1,1,141.76,3,2023-09-01,2023-12-31
28,28,2,1,109.64,3,2023-09-01,2023-12-31
29,85,1,2,29.78,4,2023-09-01,2023-12-31
30,85,2,2,20.61,4,2023-09-01,2023-12-31
31,85,1,1,22.88,4,2023-09-01,2023-12-31
32,85,2,1,18.29,4,2023-09-01,2023-12-31
33,86,1,2,31.11,5,2023-09-01,2023-12-31
34,86,2,2,18.59,5,2023-09-01,2023-12-31
35,86,1,1,23.84,5,2023-09-01,2023-12-31
36,86,2,1,18.59,5,2023-09-01,2023-12-31
37,87,1,2,7.51,5,2023-09-01,2023-12-31
38,87,2,2,7.19,5,2023-09-01,2023-12-31
39,87,1,1,5.37,5,2023-09-01,2023-12-31
40,87,2,1,5.14,5,2023-09-01,2023-12-31
41,88,1,2,27.11,5,2023-09-01,2023-12-31
42,88,2,2,12.0,5,2023-09-01,2023-12-31
43,88,1,1,17.66,5,2023-09-01,2023-12-31
44,88,2,1,7.19,5,2023-09-01,2023-12-31
45,89,1,2,9.39,5,2023-09-01,2023-12-31
46,89,2,2,2.74,5,2023-09-01,2023-12-31
