"ID","Item Description","Life Style","Retirement Type","Budget Per Week","Category","Start Date","End Date"
453,Building and contents insurance,Comfortable,Couple,40.08,Housing,2023-03-01,2023-06-30
454,Building and contents insurance,Comfortable,Couple,41.2,Housing,2023-03-01,2023-06-30
455,Building and contents insurance,Comfortable,Single,37.8,Housing,2023-03-01,2023-06-30
456,Building and contents insurance,Modest,Single,31.48,Housing,2023-03-01,2023-06-30
457,Council rates,Comfortable,Couple,42.68,Housing,2023-03-01,2023-06-30
458,Council rates,Modest,Couple,38.97,Housing,2023-03-01,2023-06-30
459,Council rates,Comfortable,Single,42.68,Housing,2023-03-01,2023-06-30
460,Council rates,Modest,Single,36.72,Housing,2023-03-01,2023-06-30
461,Water charges,Comfortable,Couple,25.31,Housing,2023-03-01,2023-06-30
462,Water charges,Modest,Couple,25.31,Housing,2023-03-01,2023-06-30
463,Water charges,Comfortable,Single,21.79,Housing,2023-03-01,2023-06-30
464,Water charges,Modest,Single,21.79,Housing,2023-03-01,2023-06-30
465,Home improvements,Comfortable,Couple,7.77,Housing,2023-03-01,2023-06-30
466,Home improvements,Modest,Couple,0.0,Housing,2023-03-01,2023-06-30
467,Home improvements,Comfortable,Single,7.77,Housing,2023-03-01,2023-06-30
468,Home improvements,Modest,Single,0.0,Housing,2023-03-01,2023-06-30
469,Repairs & maintenance,Comfortable,Couple,23.29,Housing,2023-03-01,2023-06-30
470,Repairs & maintenance,Modest,Couple,23.29,Housing,2023-03-01,2023-06-30
471,Repairs & maintenance,Comfortable,Single,23.29,Housing,2023-03-01,2023-06-30
472,Repairs & maintenance,Modest,Single,23.29,Housing,2023-03-01,2023-06-30
473,Electricity & gas bills,Comfortable,Couple,60.48,Electricty and Gas,2023-03-01,2023-06-30
474,Electricity & gas bills,Modest,Couple,51.7,Electricty and Gas,2023-03-01,2023-06-30
475,Electricity & gas bills,Comfortable,Single,48.77,Electricty and Gas,2023-03-01,2023-06-30
476,Electricity & gas bills,Modest,Single,38.49,Electricty and Gas,2023-03-01,2023-06-30
477,Food - Groceries,Comfortable,Couple,243.57,Food,2023-03-01,2023-06-30
