"ID","item","lifestyle","retirementtype","budgetperweek","category","startdate","enddate"
697,22,2,2,42.67,1,2023-09-01,2023-12-31
698,22,2,1,33.57,1,2023-09-01,2023-12-31
699,23,1,2,44.55,1,2023-09-01,2023-12-31
700,23,2,2,40.67,1,2023-09-01,2023-12-31
701,23,1,1,44.53,1,2023-09-01,2023-12-31
702,23,2,1,38.32,1,2023-09-01,2023-12-31
703,24,1,2,26.5,1,2023-09-01,2023-12-31
704,24,2,2,26.5,1,2023-09-01,2023-12-31
705,24,1,1,22.81,1,2023-09-01,2023-12-31
706,25,1,2,7.93,1,2023-09-01,2023-12-31
707,22,1,1,40.32,1,2023-09-01,2023-12-31
708,25,2,2,0.0,1,2023-09-01,2023-12-31
709,25,1,1,7.93,1,2023-09-01,2023-12-31
710,25,2,1,0.0,1,2023-09-01,2023-12-31
711,26,1,2,23.77,1,2023-09-01,2023-12-31
712,26,2,2,23.77,1,2023-09-01,2023-12-31
713,26,1,1,23.77,1,2023-09-01,2023-12-31
714,26,2,1,23.77,1,2023-09-01,2023-12-31
715,27,1,2,63.92,2,2023-09-01,2023-12-31
716,27,2,2,54.64,2,2023-09-01,2023-12-31
717,24,2,1,22.81,1,2023-09-01,2023-12-31
718,27,1,1,51.54,2,2023-09-01,2023-12-31
719,27,2,1,40.68,2,2023-09-01,2023-12-31
720,28,1,2,246.38,3,2023-09-01,2023-12-31
721,28,2,2,203.27,3,2023-09-01,2023-12-31
722,28,1,1,141.76,3,2023-09-01,2023-12-31
723,28,2,1,109.64,3,2023-09-01,2023-12-31
724,85,1,2,29.78,4,2023-09-01,2023-12-31
725,85,2,2,20.61,4,2023-09-01,2023-12-31
726,85,1,1,22.88,4,2023-09-01,2023-12-31
727,85,2,1,18.29,4,2023-09-01,2023-12-31
728,86,1,2,31.11,5,2023-09-01,2023-12-31
729,86,2,2,18.59,5,2023-09-01,2023-12-31
730,86,1,1,23.84,5,2023-09-01,2023-12-31
731,86,2,1,18.59,5,2023-09-01,2023-12-31
732,87,1,2,7.51,5,2023-09-01,2023-12-31
733,87,2,2,7.19,5,2023-09-01,2023-12-31
734,87,1,1,5.37,5,2023-09-01,2023-12-31
735,87,2,1,5.14,5,2023-09-01,2023-12-31
736,88,1,2,27.11,5,2023-09-01,2023-12-31
737,88,2,2,12.0,5,2023-09-01,2023-12-31
738,88,1,1,17.66,5,2023-09-01,2023-12-31
739,88,2,1,7.19,5,2023-09-01,2023-12-31
740,89,1,2,9.39,5,2023-09-01,2023-12-31
741,89,2,2,2.74,5,2023-09-01,2023-12-31
742,89,1,1,9.17,5,2023-09-01,2023-12-31
743,89,2,1,2.74,5,2023-09-01,2023-12-31
744,90,1,2,5.01,5,2023-09-01,2023-12-31
745,90,2,2,2.82,5,2023-09-01,2023-12-31
746,90,1,1,5.01,5,2023-09-01,2023-12-31
747,90,2,1,2.82,5,2023-09-01,2023-12-31
748,91,1,2,18.78,5,2023-09-01,2023-12-31
749,91,2,2,2.91,5,2023-09-01,2023-12-31
750,91,1,1,16.42,5,2023-09-01,2023-12-31
751,91,2,1,2.91,5,2023-09-01,2023-12-31
752,92,2,2,0.0,5,2023-09-01,2023-12-31
753,92,1,1,7.78,5,2023-09-01,2023-12-31
754,92,2,1,0.0,5,2023-09-01,2023-12-31
755,94,1,2,188.33,7,2023-09-01,2023-12-31
756,94,1,1,176.23,7,2023-09-01,2023-12-31
757,94,2,1,107.78,7,2023-09-01,2023-12-31
758,95,1,2,5.57,7,2023-09-01,2023-12-31
759,95,2,2,5.57,7,2023-09-01,2023-12-31
760,95,1,1,2.79,7,2023-09-01,2023-12-31
